English,Russian,Level,Topic,POS,Example,Example_ru,Freq,Test_Example,Test_Example_ru
simple,"простой, однозначный",A1,description,adjective,a simple question,простой вопрос,22475.0,September eleven was not a simple operation,"Проведение терактов 11 сентября, тем не менее, не было простой операцией."
white,белый,A1,description,adjective,white snow,белый снег,22467.0,Like white light that contains all colours,"Я - как белый свет, который в себе содержит уже все цвета."
beautiful,красивый,A1,description,adjective,a beautiful flower,красивый цветок,22416.0,"Society imposes needs of desires: a house, a flat screen, a beautiful car, beautiful trips or a beautiful watch","Компании навязывают нам потребности в желаниях: дом, плоский экран, красивый автомобиль, прекрасное путешествие или красивые часы."
short,"короткий, слабый, внезапно",A1,description,adjective,short hair,короткие волосы,22368.0,"The bears were happy to get another short bite, with the short float getting to 28.12%","Медведи были счастливы получить еще один короткий укус, с коротким поплавком, достигшим 28,12%."
red,красный,A1,description,adjective,red apple,красное яблоко,22349.0,"We saw a red vineyard, completely red like red wine","Мы видели совершенно красный виноградник - красный, как красное вино."
outside,снаружи,A1,description,phrase,I love the outside.,Я люблю улицу.,22347.0,The applicant must be outside Bahrain,Заявители при подаче на визу в Бахрейн должны находиться за пределами Бахрейна.
color,цвет,A1,description,noun,red is a color,красный - это цвет,22261.0,I never wanted color to be color,"«Я никогда не хотел, чтобы цвет был лишь цветом."
happy,счастливый,A1,description,adjective,I am happy.,Я счастлив.,22240.0,A bunch of happy communities tied together is a happy city and a happy world,Несколько счастливых районов вместе составляют счастливый город и счастливый мир.
round,"круг, цикл, полный, круглый",A1,description,adjective,a round table,круглый стол,22172.0,And he certainly won this round,"И в этом смысле он, безусловно, выиграл блестяще этот раунд."
blue,синий,A1,description,adjective,a blue car,синяя машина,22152.0,"Shades of blue, and blue smells like home","Оттенки синего, а синий пахнет домом."
hair,"волос, прическа, шерсть",A1,description,noun,long brown hair,длинные коричневые волосы,22152.0,long brown hair,длинные коричневые волосы
nice,"хороший, чудесный, приятный",A1,description,adjective,a nice day,хороший день,22147.0,Be nice and people will be nice,Будь сам хороший и люди будут хорошими.
eye,"глаз, взгляд, око",A1,description,noun,blue eyes,голубые глаза,22100.0,There are very correct practice - an eye for an eye,Есть очень правильная практика - око за око.
soft,"мягкий, тихий",A1,description,adjective,soft pillow,мягкая подушка,22089.0,It is also soft in nature,Он к тому же еще и мягкий по характеру.
yellow,желтый,A1,description,adjective,a yellow flower,желтый цветок,22059.0,"Eleven shades remained, pale yellow (lemon) was replaced by more saturated yellow","Одиннадцать оттенков остались, бледно желтый (лимонный) был заменен более насыщенным желтым."
height,высота,A1,description,noun,The height of the building.,Высота здания.,22020.0,The sealing height can be adjusted based on the product height,Уплотнение высоту можно регулировать на основании высота продукта.
colour,цвет,A1,description,noun,What's your favorite color?,Какой твой любимый цвет?,21996.0,Select the desired colour from the adjacent colour table,Выберите необходимый цвет из соседней таблицы цветов.
brown,коричневый,A1,description,adjective,brown hair,коричневые волосы,21978.0,That big brown makes his eyespot very big,И этот большой коричневый малый делает свое глазное пятно очень большим.
pink,розовый,A1,description,adjective,She wore a pink dress.,Она носила розовое платье.,21971.0,"Three pink elephants, two pink elephants, one pink elephant","Три розовых слона, два розовых слона, один розовый слон."
loud,громкий,A1,description,adjective,a loud noise,громкий шум,21957.0,Our today's game news digest contains another loud announcement,Также наш дайджест игровых новостей этой недели включает еще один громкий анонс.
nose,"нос, носик, переносица",A1,description,noun,She has a small nose.,У нее маленький нос.,21947.0,"I see your nose is not purely decorative, Madonna","Вижу, что ваш носик там не только для красоты, Мадонна."
hot,горячий,A1,description,adjective,hot coffee,горячий кофе,21940.0,"It was a hot day, but we hadn't realized how hot","Это был горячий день, но мы и представить себе не могли насколько жарким окажется вечер."
tall,"невероятный, высокий",A1,description,adjective,a tall building,высокое здание,21940.0,"Jon Favreau, tall guy from Dodgeball","Джон Фавро, высокий парень из ""Вышибал""."
purple,фиолетовый,A1,description,adjective,a purple flower,фиолетовый цветок,21922.0,"Survey says women prefer blue, purple and green","Опросы показывают, что женщины предпочитают синий, фиолетовый и зеленый."
gray,серый,A1,description,adjective,gray hair,седые волосы,21917.0,The colors for metal are gray and white,"Цвета, относящиеся к металлу - это серый и белый."
black,черный,A1,description,adjective,black cat,черная кошка,21913.0,The black background needed to be more black,"Он хотел, чтобы черный цвет стал еще более черным."
slept,спал,A1,description,verb,I slept well last night.,Я хорошо поспал прошлой ночью.,21911.0,I slept in the car as usual,"Я, как обычно, спал в своей машине."
singular,"уникальный, особый, единственное число",A1,description,adjective,a singular noun,единственное число,21900.0,a singular noun,единственное число
adjective,прилагательное,A1,description,adjective,beautiful flowers,красивые цветы,21893.0,The adjective 'actual' here is crucial,И прилагательное «современное» здесь является ключевым.
plural,множественное число,A1,description,adjective,plural nouns,множественное число существительных,21889.0,We are always 'plural',Мы всегда - «во множественном числе».
North,север,A1,direction,noun,Go north on this road.,Идите на север по этой дороге.,22111.0,Depends how far North you go,"Все зависит от того, насколько далеко на север вы хотите забраться."
primary school,начальная школа,A1,education,noun,I went to primary school.,Я ходил в начальную школу.,22776.0,In primary school I was terrible,В начальной школе я была в ужасном состоянии.
school,"школа, обучать",A1,education,noun,I go to school.,Я хожу в школу.,22484.0,"You need to school, school, school","Стало быть, нужна школа, школа и школа»."
classroom,класс,A1,education,noun,I go to the classroom.,Я иду в класс.,21911.0,In this classroom or anywhere else,"Ни в этом классе, ни где-нибудь ещё."
chalk,"писать, мел",A1,education,noun,write on the chalkboard,писать на доске,21890.0,"For example, he has a desire to gnaw chalk or eat sand","Например, у него появляется желание грызть мел или есть песок."
maths,математика,A1,education,noun,I study maths at school.,Я учусь математике в школе.,21886.0,It's simple maths and cannot be argued with,Это чистая математика и с ней не поспоришь.
blackboard,"школьная доска, классная доска, доска",A1,education,noun,write on the blackboard,писать на доске,21885.0,"He had a computer, a small blackboard and a phone to his right","Справа от него стояли компьютер, небольшая доска и телефон."
schoolboy,школьник,A1,education,noun,The schoolboy is studying.,Школьник учится.,21885.0,Often a schoolboy shouting curses or threats against other people,Нередко школьник выкрикивает проклятия или угрозы по отношению к другим людям.
pupil,"ученик, воспитанник, школьник",A1,education,noun,She is a diligent pupil.,Она прилежный ученик.,21884.0,No pupil should be left behind,Ни один ученик не должен оставаться позади».
schoolchild,"школьник, ученик",A1,education,noun,The schoolchild is studying.,Школьник учится.,21880.0,"As almost any schoolchild knows, oil and water don't mix","Любой школьник знает, что нефть и вода не смешиваются."
cry,"плакать, заплакать, кричать",A1,emotion,verb,She cried when she heard the news.,"Она заплакала, когда услышала новость.",21969.0,She cried when she heard the news.,"Она заплакала, когда услышала новость."
feel,чувствовать,A1,emotions,verb,I feel happy.,Я чувствую себя счастливым.,23128.0,This may make your partner feel bad,"Тем не менее, такая позиция может заставить своего партнера чувствовать себя плохо."
elder sister/brother/son/daughter,старшая сестра/брат/сын/дочь,A1,family,noun,My elder sister is studying.,Моя старшая сестра учится.,22670.0,My elder sister is studying.,Моя старшая сестра учится.
father,"отец, папа",A1,family,noun,My father is a doctor.,Мой отец - врач.,22263.0,"I can give advice, father to father",Могу дать совет как отец отцу.
son,"сын, сынок",A1,family,noun,My son is playing outside.,Мой сын играет на улице.,22101.0,My son confirmed he too saw it,"Его собственный сын свидетельствовал об этом, говоря, что он тоже видел его."
parent,родитель,A1,family,noun,My parent is my mother.,Мой родитель - моя мама.,22001.0,"If a parent represents a child independently, consent of the other parent is presumed","Если родитель представляет ребенка самостоятельно, предполагается согласие второго родителя."
dad,"папа, папочка, папаша",A1,family,noun,My dad is cooking dinner.,Мой папа готовит ужин.,21997.0,But your dad is your dad,Но твой папа - это твой папа.
grandfather,"дедушка, дед, прадед",A1,family,noun,My grandfather is kind.,Мой дедушка добрый.,21917.0,My grandfather did better than his dad,"Я думаю, что дед из меня получился получше, чем отец."
uncle,"дядя, дядюшка, дядька",A1,family,noun,My uncle is coming.,Мой дядя приходит.,21915.0,"Mom, I think uncle left","Мама, я думаю, что дядя уехал."
mama,мама,A1,family,noun,"I love you, mama.","Я тебя люблю, мама.",21910.0,I gave them what my mama gave me,"Я дала им то, что моя мама давала мне."
aunt,"тетя, тетка, тетушка",A1,family,noun,My aunt lives in London.,Моя тётя живёт в Лондоне.,21895.0,Don't mind what my aunt said,"Не обращай внимание на то, что тетка наговорила."
mum,мама,A1,family,noun,I love my mum.,Я люблю свою маму.,21892.0,My mum called me in sick,"Моя мама позвонила и сказала, что я заболела."
granny,"бабуля, бабушка, бабулька",A1,family,noun,My granny bakes cookies.,Моя бабушка печет печенье.,21883.0,My granny gave me 50 quid,Моя бабушка подарила мне 50 фунтов.
mamma,мама,A1,family,noun,"Mamma, can I have some cookies?","Мама, можно мне печеньки?",21881.0,Now she knows her mamma is strong,"Но она знает, что ее мама очень толстая."
cap,"шапка, кепка, шапочка",A1,fashion,noun,wearing a cap,ношение кепки,21934.0,Rev. cap of liberty between two daggers,Реверс: шапка Свободы (пилей) между двумя кинжалами.
a bite (to eat),перекусить),A1,food,phrase,I had a bite for breakfast.,Я съел кусочек на завтрак.,144796.0,I had a bite for breakfast.,Я съел кусочек на завтрак.
"take milk/sugar, etc.",взять молоко/сахар и т.д.,A1,food,phrase,Take milk with your cereal.,Возьми молоко с хлопьями.,24508.0,Take milk with your cereal.,Возьми молоко с хлопьями.
food,"еда, пища, питание",A1,food,noun,I love food.,Я люблю еду.,22771.0,Local food is the best food you can eat,"Местная еда - самая свежая пища, которую вы можете приобрести."
ice cream,мороженое,A1,food,noun,I love eating ice cream.,Я люблю есть мороженое.,22320.0,The ice cream alone is delicious,"С одной стороны, мороженое - это само по себе прекрасно."
eat,есть (принимать пищу),A1,food,verb,I eat breakfast every morning.,Я ем завтрак каждое утро.,22273.0,And eat and eat and eat,"И есть, и есть, и есть."
drink,"напиток, пить",A1,food,noun,I want a drink.,Я хочу пить.,22181.0,Researchers found the drink was beneficial,"Исследователи сделали вывод о том, что данный напиток оказывает положительное влияние."
milk,молоко,A1,food,noun,I drink milk every morning.,Я пью молоко каждое утро.,22130.0,No animal except man takes milk lifelong,"Никакое животное, кроме человека, не употребляет молоко на протяжении всей жизни."
tea,"чай, отвар",A1,food,noun,I would like some tea.,Я бы хотел(а) чай.,22112.0,"They call tea with lemon ""Russian tea""","Любопытно, что европейцы называют чай с лимоном «русским чаем»."
fruit,"фрукт, плод, овощ",A1,food,noun,I love eating fruit.,Я люблю есть фрукты.,22106.0,I love eating fruit.,Я люблю есть фрукты.
sugar,сахар,A1,food,noun,I like sugar in my coffee.,Мне нравится сахар в моем кофе.,22087.0,"Unlike white sugar, brown sugar contains molasses","В отличие от белого сахара, коричневый сахар содержит патоку."
salt,"соль, поваренная соль",A1,food,noun,Add salt to taste.,Добавьте соль по вкусу.,22032.0,Today's salt is different than the salt of antiquity,Сегодняшняя соль отличается от соли древности.
apple,яблоко,A1,food,noun,I ate an apple.,Я съел яблоко.,22011.0,No apple has ever tasted the same,Ни одно другое яблоко не имело для меня тот самый вкус.
bread,хлеб,A1,food,noun,I want bread.,Я хочу хлеб.,22008.0,The most common type of bread is white bread or loaf,Самый распространенный вид хлеба - это белый хлеб или батон.
honey,мед,A1,food,noun,I love honey on toast.,Я люблю мед на тосте.,22005.0,Raw honey may also be more expensive than filtered or processed honey,"Сырой мед также может быть дороже, чем отфильтрованный или обработанный мед."
rice,рис,A1,food,noun,I like rice.,Мне нравится рис.,21997.0,White rice is the most popular type of rice in the world,Белый рис - самый популярный сорт риса в мире.
dinner,"обед, ужин",A1,food,noun,Have dinner with me.,Ужинай со мной.,21992.0,She planned a birthday dinner for her cousin,Она запланировала ужин в честь дня рождения её двоюродного брата.
juice,сок,A1,food,noun,I want some juice.,Я хочу сок.,21986.0,"If you spilled juice or juice, immediately wipe","Если пролился сок или компот, сразу вытрите."
breakfast,завтрак,A1,food,noun,I had breakfast this morning.,Я позавтракал сегодня утром.,21984.0,Sorry to interrupt your breakfast crowd,"Извините, что я прерываю ваш завтрак (англ.)."
cheese,"сыр, творог, брынза",A1,food,noun,I love cheese.,Я люблю сыр.,21979.0,"At the same time, most housewives prefer to replace cheese with ordinary cheese","При этом, большинство хозяек предпочитают заменять сыр обыкновенной брынзой."
plate,"тарелка, блюдо",A1,food,noun,a dinner plate,тарелка для ужина,21969.0,He's matching you plate for plate,Он выигрывал у тебя тарелку за тарелкой.
lunch,"обед, ланч, ленч",A1,food,noun,Have lunch at noon.,Обедайте в полдень.,21956.0,I would up getting lunch anyway,"Я думаю, я пойду на обед в любом случае."
orange,"апельсин, оранжевый",A1,food,noun,I ate an orange.,Я съел апельсин.,21956.0,Let's look at the color orange,"Ну, а сейчас рассмотрим собственно сам, оранжевый цвет."
cook,"готовить, приготовить, готовиться",A1,food,verb,I cook dinner every night.,Я готовлю ужин каждый вечер.,21955.0,"Both, but mostly cook at home","В основном, но и приготовить в домашних условиях."
vegetable,овощ,A1,food,noun,I like eating vegetables.,Мне нравится есть овощи.,21952.0,Other vegetable crops account for 6k tonnes,На долю прочих овощных культур приходится 6 тысяч тонн.
chicken,"цыпленок, кура",A1,food,noun,I ate chicken for dinner.,Я поел курицу на ужин.,21951.0,Smells like chicken dinner from here,"Пахнет, как цыпленок на ужин, отсюда."
hungry,"голодный, жадный",A1,food,adjective,I'm hungry.,Я голоден.,21951.0,I thought boys were always hungry,"Они думают, что каждый человек всегда голодный ."
egg,яйцо,A1,food,noun,boiled egg,вареное яйцо,21946.0,"Others, empty like an egg shell","Все остальные попросту изжарились, как яйцо на сковородке."
soup,"суп, бульон, похлебка",A1,food,noun,I had soup for lunch.,Я пообедал супом.,21945.0,You just pray nobody orders soup,"И молишься, чтоб никто суп не заказал."
corn,"кукуруза, зерно, пшеница",A1,food,noun,I like corn on the cob.,Мне нравится кукуруза на початках.,21944.0,Red corn is a type of sweet corn,Красная кукуруза - разновидность сладкой кукурузы.
butter,"сливочное масло, масло",A1,food,noun,spread butter on bread,намазать масло на хлеб,21939.0,Maybe your butter was too warm,"Я думаю, что ваше масло было слишком теплым."
ate,"ел, съел (от eat)",A1,food,verb,I ate breakfast this morning.,Я поел завтрак сегодня утром.,21934.0,I ate nothing but bread and butter,"Я не ел ничего, кроме хлеба и масла."
cake,"торт, кекс, пирог",A1,food,noun,I ate a delicious cake.,Я съел вкусный торт.,21933.0,A classic cake is the apple crumble cake,Классический пирог - яблочный крошащийся торт.
pot,"горшок, горшочек",A1,food,noun,boil water in a pot,кипятить воду в кастрюле,21930.0,He asks Ping why his pot is empty,"Он остановился и спросил у Пина, почему его горшок пустой."
straw,"солома, соломинка, соломка",A1,food,noun,drinking straw,трубочка для напитков,21927.0,drinking straw,трубочка для напитков
dish,блюдо,A1,food,noun,wash the dishes,помыть посуду,21922.0,Her favourite dish is strawberry cheesecake,Её любимое блюдо - творожный чизкейк с клубникой.
potato,"картофель, картошка",A1,food,noun,I like potatoes.,Мне нравятся картофель.,21921.0,"By definition, the potato is a vegetable","Исходя из определения получается, что картофель - это овощ."
bowl,"чаша, миска, чашка",A1,food,noun,eat soup from bowl,есть суп из миски,21916.0,This bowl represents the here and now,"Эта чаша представляет собой ""здесь и сейчас""."
pan,"кастрюля, сковорода, противень",A1,food,noun,frying pan,сковорода для жарки,21913.0,"Enamelled pan made of thick plate, garnet inner side","Эмалированная кастрюля из толстой пластины, с гранитовидной внутренней стороной."
gum,"жвачка, десна, резина",A1,food,noun,chewing gum,жевательная резинка,21912.0,Like Mint Mojito gum in your pocket,Как жвачка со вкусом мятного Мохито в твоём кармане.
banana,банан,A1,food,noun,I ate a banana.,Я съел банан.,21909.0,A fully-ripe banana has 20-25 percent sugar,Спелый банан имеет от 20 до 25 процентов сахара.
tomato,"помидор, томат",A1,food,noun,I like tomatoes.,Мне нравятся помидоры.,21905.0,They think tomato is not a fruit,"Следовательно, по их мнению, помидор никак не может быть фруктом."
carrot,морковь,A1,food,noun,I like eating carrots.,Мне нравится есть морковь.,21898.0,"Why carrot has such an effect, a mystery","Почему морковь обладает таким эффектом, загадка."
grape,"виноград, сорт",A1,food,noun,I love eating grapes.,Я люблю есть виноград.,21896.0,"The selected Merlot grape variety is distinguished by its large berries and thin skin, however, despite this, grape is absolutely not fastidious to weather conditions","Отборный сорт винограда Мерло отличается большими ягодами и тонкой кожурой, однако, несмотря на это, виноград совершенно неприхотлив к погодным условиям."
strawberry,"клубника, земляника, клубничка",A1,food,noun,I love eating strawberries.,Я люблю есть клубнику.,21896.0,"The banana is scientifically a berry, whereas the strawberry is not","С научной точки зрения банан - это ягода, а клубника - нет."
fork,"вилка, вилы",A1,food,noun,I need a fork.,Мне нужна вилка.,21893.0,"Another intriguing, albeit sketchy fork is the so-called revival of SegWit2x","Еще одна интригующая, хотя и непонятная вилка - это, так называемое возрождение SegWit2x."
bun,"булочка, плюшка, булка",A1,food,noun,I ate a bun for breakfast.,Я съел булочку на завтрак.,21891.0,She's got a bun in the oven,У нее теперь булочка в духовке.
hen,курица,A1,food,noun,She cooked a hen for dinner.,Она приготовила курицу на ужин.,21888.0,I've got a nice plump hen with your name written all over it,У меня есть хорошая пухлая курица с вашим именем на ней.
pea,"горох, горошек",A1,food,noun,I like peas.,Мне нравятся горошек.,21887.0,I got a hundred bucks says it's a pea,"У меня есть сто баксов, которые говорят, что это горох."
pear,груша,A1,food,noun,I ate a pear.,Я съел грушу.,21887.0,"But, despite the popularity of cosmetic procedures, a special place dried pear finds in medicine, both folk and scientific","Но, несмотря на популярность косметических процедур, особое место сушеная груша находит в медицине, как народной, так и научной."
cola,кола,A1,food,noun,I want a cola.,Я хочу колу.,21886.0,"Coffee, tea, cola and other caffeine-containing drinks are well-known stimulants","Кофе, чай, кола и другие содержащие кофеин напитки это хорошо известные стимуляторы."
biscuit,"печенье, бисквит, булочка",A1,food,noun,I ate a biscuit.,Я съел печенье.,21885.0,Charcoal dog biscuit (Winalot Shapes),Угольное печенье для собак (бренд Winalot).
melon,"дыня, арбуз",A1,food,noun,I bought a melon.,Я купил дыню.,21885.0,Dried melon is the constant attribute of the eastern tea,Сушеная дыня - неизменный атрибут восточного чаепития.
turkey,Турция,A1,food,noun,I love eating turkey.,Я люблю есть индейку.,21883.0,That turkey knows what's up,"«Турция знает, что находится на кону."
good morning,доброе утро,A1,greeting,phrase,"Good morning, how are you?","Доброе утро, как дела?",24453.0,"Yes, I meant good morning","Да, я имел ввиду, доброе утро."
good evening,добрый вечер,A1,greeting,phrase,"Good evening, how are you?","Добрый вечер, как дела?",24293.0,"Hello. Hello, good evening","Привет, привет, добрый вечер."
good afternoon,добрый день,A1,greeting,phrase,"Good afternoon, how are you?","Добрый день, как дела?",24209.0,"Well, good afternoon, officer","О, добрый день, офицер."
make the/sb's bed,заправить постель,A1,home,phrase,make the bed,постелить кровать,147145.0,make the bed,постелить кровать
walk the dog,гулять с собакой,A1,home,phrase,Walk the dog,Выгуливать собаку,144329.0,"I said, you walk the dog","Я сказала, что ты выгуливаешь собаку."
"live in/at, etc.",жить в/в и т.д.,A1,home,phrase,live in a house,жить в доме,70582.0,live in a house,жить в доме
first floor,первый этаж,A1,home,phrase,I live on the first floor.,Я живу на первом этаже.,25286.0,The first floor is free to enter,Войти на первый этаж можно свободно.
